,name,origem,significado
10,Absalao,Hebraica,"Absalão: Significa “paz de Deus”, “meu pai é paz”.Sendo a versão portuguesa do nome hebraico Absalom, ele surge do hebraico Abseialom, que significa “paz de Deus”, “meu pai é paz”.Como um nome bíblico, ele pertence a um dos filhos do rei Davi. Absalão era um jovem muito belo que acabou por matar seu próprio irmão e planejava ficar com o trono do pai. Davi mesmo assim o perdoou. “O rei ordenou a Joabe, a Abisai e a Itai: ""Por amor a mim, tratem bem o jovem Absa­lão!"" E todo o exército ouviu quando o rei deu essa ordem sobre Absalão a cada um dos comandantes.” (2 Samuel 18, 5)"
11,Abud,Árabe,Abud: O mesmo que abu.
12,Acacia,Grega,"Acácia: Significa “inocente”, “a que não tem malícia”, “sem maldade”.O nome tem origem no grego akákios, que quer dizer “inocência”, “que não tem maldade”.A planta de mesmo nome era considerada sagrada entre os hebreus, e alguns estudiosos acreditam que sua madeira foi utilizada na construção da Arca da Aliança, lugar onde teriam sido guardadas as tábuas dos Dez Mandamentos."
13,Acacio,Grega,"Acácio: Significa “inocente”, “sem maldade”, “que não tem malícia”.Acácio é um nome português que surge como  variante masculina de Acácia, o qual tem origem no grego akákios, que significa “inocência”, “que não tem maldade”.Deu nome aos primeiros cristãos, e era um dos sobrenomes do deus grego Hermes (Mercúrio para os romanos), o qual era assim chamado pelo fato de ser um deus que não fazia mal aos homens.Hermes era filho de Zeus, o deus dos deuses, e era a divindade responsável pela riqueza, pela fertilidade, pela linguagem, entre outros.Partilha do mesmo significado de Inocêncio, o qual surge do latim Innocentiu, que significa literalmente “inocente; que não faz mal algum”.PopularidadeDe acordo com o Censo Demográfico 2010 eram mais de 8 mil os seus portadores na altura da pesquisa, com maior taxa de incidência no estado de Sergipe.O nome foi popular especialmente na década de 80, a partir de quando o número de registros começou a reduzir.Isso faz dele um nome original. Bonito, especialmente em virtude do seu significado, os meninos com ele registrados podem ser afetivamente chamados de Cacinho.VariantesAkacio é sua variante gráfica. Enquanto em outras línguas apresenta as formas: Acacio (sem acento), em espanhol; Agazio, em italiano, e Acace, em francês."
14,Acaua,Indígena,"Acauã: Significa “grande ave de rapina” ou ""gavião-acauã"".Nome diferente, que tem origem indígena, através do termo em tupi waka'wã, possivelmente significa “grande ave de rapina” ou ""gavião-acauã"", referente à ave da família dos Falconídeos, chamada de Herpetotheres Cachinnans.O gavião é um animal que simboliza beleza, imponência, liberdade e superioridade.Esse nome ficou muito conhecido por conta da música ""Acauã"", de Luiz Gonzaga.Acauã"
15,Acaz,Hebraica,"Acaz: Significa ""possuidor"". Rei de Judá, filho de Joatão."
16,Acelino,Latina,Acelino: O que concorda.
17,Achila,Grega,Achila: Feminino de Aquiles.
18,Achille,Francesa,Achille: Forma francesa e italiana de Aquiles.
19,Achilles,Grega,"Achilles: Significa “dor do povo”, “luto do povo”, “aflição da nação”.É a variante inglesa e alemã de Aquiles, que tem origem no nome grego Achilléus, formado pelos elementos akhos, que significa “dor, sofrimento, aflição” e laos, que quer dizer “nação, povo”.Foi o mais bravo dos heróis gregos e foi um dos personagens principais da obra que conta a história da guerra de Tróia, “Ilíada” de Homero, onde acabou morto por uma flecha na única parte vulnerável do seu corpo, o calcanhar. A partir desta história surgiu a expressão “calcanhar de Aquiles”, que significa “fraqueza, vulnerabilidade”."
20,Acidalia,Grega,Acidália: Aquela que cuida de todos.
21,Acilda,Latina,Acilda: Variante latinizada de Gilda.
22,Acir,Tupi,"Acir: Significa ""dolorido, magoado"", ""o que vem da dor"" ou ""o que faz doer, o que magoa"".É o diminutivo de Moacir, nome originado no tupi mbo'a'su ira, composto pela junção das palavras, mbo'a'su, que significa ""dor"" ou ""fazer doer"", e ira, que quer dizer ""saído de"".Moacir é um dos nomes indígenas mais populares no Brasil."
23,Acirema,Latina,Acirema: Anagrama de América.
24,Acrisio,Mitológica,"Acrísio: Rei de Argos, na grécia."
25,Acsa,Hebraica,"Acsa: Significa ""enfeite para tornozelo"", ""pulseira para tornozelo"", ""a adornada"" ou ""rompendo o véu"".Acsa é um nome com origem hebraica. Surge da palavra achsah, que significa ""enfeite para tornozelo"", ""pulseira para tornozelo"". Por extensão, carrega o sentido de ""a adornada"".Trata-se de um bonito nome feminino que reflete beleza em virtude do seu significado.Nas Escrituras Sagradas, Acsa é filha de Caleb, que foi um dos treze homens enviados por Moisés em busca da Terra Prometida, chamada de Canaã.Acsa é dada em casamento por seu pai ao homem que liderou a conquista à cidade Quiriate-Sefer. Esse homem era Otniel e era primo de Acsa, cuja história pode ser lida no Antigo Testamento, no livro de Josué.“E Calebe disse: ""Darei minha filha Acsa por mulher ao homem que atacar e conquistar Quiriate-Sefer"".Otoniel, filho de Quenaz, irmão de Calebe, a conquistou; e Calebe lhe deu sua filha Acsa por mulher.” (Josué 15:16-17)Há estudiosos, porém, que referem que o significado do nome Acsa pode ser também ""rompendo o véu"".Alguns registros desse nome podem ser encontrados no nosso país. Sua popularidade vem crescendo desde a década de 70, conforme mostram os dados do Censo Demográfico 2010, que na altura apontou como 1700 o número de suas portadoras."
26,Acucena,Hebraica,"Açucena: Significa “pureza”, ""flor de lis"" ou “flor branca”.Açucena é um nome feminino, considerado como uma variação de Susana, originado a partir do hebraico Shoushannah, de shoushan, e que quer dizer literalmente “lírio” ou “flor branca”.No entanto, alguns estudiosos ainda acreditam que a raiz etimológica deste nome esteja no elemento egípcio sšn, que pode ser traduzido como “lótus”.Na tradição popular, a açucena (lírio) sempre foi relacionada como um símbolo de “pureza”. Por este motivo, “a pura” pode ser um dos significados atribuídos à Açucena.Este é um nome bastante popular entre os brasileiros. As pessoas batizadas com este nome, normalmente, costumam receber alguns apelidos carinhosos de amigos e familiares próximos, como Su ou Suse, por exemplo.Os nomes derivados a partir da mesma raiz etimológica hebraica de Açucena foram bastante utilizados durante a Idade Média, principalmente por cristãos."
27,Acurcio,Grega,Acúrcio: Santo mártir grego.
28,Ada,Hebraica,"Ada: Significa “lugar de delícias” ou “o Senhor concedeu benefícios”, ou ainda “ornamento”, “beleza”.É um nome de origem incerta, com a possibilidade de cinco étimos.Pode ter vindo do germânico Eada, influenciado pelo hebraico  Édhen, que significa “ligar de delícias”.Outra possibilidade é que tenha surgido a partir de uma variação feminina do hebraico iddo, uma abreviatura de addayah, que quer dizer literalmente “o Senhor concedeu benefícios”.Ainda pode ter origem no hebraico Adah, que significa literalmente “ornamento, beleza”, e é citado na Bíblia denominando a mulher de Lameque.Há ainda a possibilidade de ter surgido como um apelido dos nomes iniciados com Ad, como Adolfa ou Adosina. Ou ainda através do inglês Ada, apelido utilizado para o nome Adelaide."
29,Adailton,Latina,"Adailton: Significa “o que foi acrescentado”.Adailton é um nome que surge como uma invenção brasileira, mas sua origem é incerta.Estudiosos da onomástica indicam a possibilidade de se tratar de uma variante de Adauto ou de Dalton.Adauto tem origem religiosa. Do latim Adauctus, significa “acrescentado”.O primeiro portador desse nome religioso foi um mártir do século III. Segundo o que se conhece de sua história, o seu nome era desconhecido por aqueles que assistiram ao seu martírio.Quando um padre chamado Félix era encaminhado para ser morto, um desconhecido o chamou dizendo que era cristão e que queria ser martirizado com ele.Pelo fato de ter morrido junto com São Félix, as pessoas se referiam a ele como aquele que havia sido morto junto com o santo, ou seja, que seu martírio teria sido acrescentado ao de São Félix. Daí o significado “o que foi acrescentado”.Dalton, por sua vez, é um nome de origem toponímica. Ele surge da língua inglesa antiga como Daltun.Seu significado resulta da junção dos elementos dahl, que significa “vale”, e ton, que significa “lugar”, “cidade”.Possivelmente teria sido utilizado para nomear homens que nasciam ou que habitavam um local ou cidade, situado num vale.Os meninos registrados com esse nome podem ser afetivamente chamados de Tom."
30,Adair,Árabe,"Adair: Significa “passagem de uma vau sobre um carvalho” ou “o circuito, o que cincunda”.Adair é um nome céltico que surge a partir do celta Athadara, cujo significado é “passagem de uma vau (porção de água) sobre um carvalho”.Trata-se de um nome toponímico, visto que sua origem decorre do nome de um lugar, mais precisamente uma residência céltica.O nome Adair é categorizado como unissex em virtude de servir tanto o gênero masculino (com maior incidência) como o gênero feminino.No que respeita ao gênero feminino, é atribuído um outro étimo ao nome Adair. Esse do árabe Adaira, cuja outra variante em português é Adaíra, significa “o circuito, o que cincunda”.Adair é um nome curto, que tem uma sonoridade muito bonita. Algumas fontes atribuem-lhe o caráter de nobre por considerarem que nele conste o elemento adal (como em Adalfredo ou Adelaide, por exemplo) que significa “nobre”, o que não deve ser considerado.Os meninos registrados com esse nome podem ser afetivamente chamados de Adairzinho."
31,Adalberon,Grega,Adalberon: Forte.
32,Adalberto,Germânica,"Adalberto: Significa “nobre ilustre”, “ilustre por sua nobreza”, “brilho da nobreza”.Tem origem no germânico Adalbert formado pelos elementos adal, que quer dizer “nobre” e berth, que significa “ilustre, brilhante”.É nome de um santo conhecido como Santo Adalberto de Praga, padroeiro também da Boêmia, Polônia, Hungria e Prússia.É uma forma germânica antiga que deu origem a Alberto."
33,Adalfredo,Germânica,"Adalfredo: Significa “nobre”, “pacífico”, “pessoa de qualidade e méritos”, “majestoso”.O nome Adalfredo vem do também germânico Adolf e é a junção de adal, que significa “nobre”, com frid, que significa “pacífico”.Os pais que batizam um filho com esse nome esperam que o seu descendente se destaque por suas qualidades e méritos, que seja portanto, uma pessoa nobre e, igualmente, pacífica.No Brasil, quem recebe esse nome tendencialmente é chamado pelo diminutivo Fred."
34,Adalgisa,Germânica,"Adalgisa: Significa “promessa nobre”,  “preciosa”, “lança de nobreza”. O nome feminino Adalgisa tem origem a partir do germânico e carrega os significados de “promessa nobre”, “preciosa” ou “lança de nobreza”. O elemento em germânico antigo gis, a partir de gaiso, significa “lança” ou a partir de gisel, significa “promessa”. Este nome aparece na popular ópera “Norma”, do compositor italiano Vincenzo Bellini. O papel da personagem Adalgisa foi interpretado pela primeira vez pela soprano Giulia Grisi no ano de 1831."
35,Adalto,Latina,"Adalto: Variação do nome Adalton. Significa “aumentado” ou “crescido”.Adalton é um nome masculino e que foi originado a partir do latim adauctus, que significa “aumentado” ou “crescido”, na tradução para o português.Adalton é conhecido, principalmente entre os cristãos, como o nome de um santo mártir que viveu durante o século IV d.C, nos primórdios do Cristianismo.Adauctus (como era conhecido), foi levado à execução em companhia de outro mártir cristão chamado Félix. Por este motivo, ambos os santos são venerados e homenageados sempre em conjunto.Adalton é um nome bastante popular entre os brasileiros, além de outras variantes gráficas deste nome, como Adauton ou Adauto, por exemplo.As pessoas batizadas com este nome, normalmente, costumam receber alguns apelidos carinhosos de amigos e familiares próximos, como Dalton ou Aldo, por exemplo.No Brasil, entre as personalidades mais populares com este nome, destaca-se o cantor, compositor e músico brasileiro Adauto Santos (1940 – 1999)."
36,Adalzira,Germânica,Adalzira: Ornamento nobre.
37,Adam,Hebraica,"Adam: Significa “homem”, “homem formado na terra”.É o nome hebraico que originou o nome Adão. Adam quer dizer “homem”, e tem ligação com a palavra adama, que significa “terra”, sendo traduzido por “homem criado a partir da terra”.Foi encontrado por volta do século XIII em Portugal, sob a forma de Adam, onde se tornou muito popular, também na Escócia e Inglaterra.É utilizado como variante de Adão nas línguas francesa, inglesa, alemã e nórdica."
38,Adamastor,Grega,"Adamastor: Um dos gigantes, que pretendia destronar Júpiter."
39,Adamir,Germânica,Adamir: Pai ilustre.
40,Adams,Hebraica,Adams: Filho de Adão.
41,Adao,Hebraica,"Adão: Significa ""homem"", “terra”, “humanidade”, ""homem criado da terra (vermelha)"".Adão é um belo e imponente nome masculino que apresenta algumas possibilidades de origem e significados diversos associados a ele.A partir do hebraico Adam, o nome Adão pode significar simplesmente ""homem"" ou “humanidade”. Essa palavra está intimamente ligada com o hebraico adamah, que significa “terra”.Outra possibilidade de origem é a partir do sânscrito Adi-Aham, palavra formada por termos diferentes: Adi, que significa ""primeiro"", e Aham, que pode ser traduzido para ""ego"". Assim, o nome significaria ""o primeiro ego"", o que também faz referência à história da criação do primeiro homem na Terra por Deus.O nome na origem sânscrita também pode significar literalmente o conceito filosófico do ""eu sou"", um modelo do existencialismo individual do ser humano.O nome Adão está associado também a outra palavra hebraica: 'adam, que significa ""ser vermelho, da cor da terra ou do barro"", referência ao tipo de solo que existia na região da Palestina.O nome Adão na BíbliaO nome Adão está presente na história contada no livro de Gênesis, no Velho Testamento da Bíblia Sagrada, quando Deus, após ter criado o primeiro homem do pó da terra, o nomeou Adão.De acordo com a Bíblia, Adão foi formado a partir do pó e da terra por Deus, que o criou a partir de sua imagem e semelhança. Ao comer o fruto proibido da árvore do conhecimento juntamente com Eva, a primeira mulher criada por Deus, o casal deu início ao primeiro pecado da humanidade.Popularidade do nome AdãoO nome Adão sempre foi comum na história da humanidade, mas ficou mais popular depois da Reforma Protestante.Existem registros históricos do nome Adão (na forma Adam) em Portugal datados do século XIII.Atualmente, o nome pode ser encontrado com maior quantidade de registros na Angola, em Portugal, no Brasil e em Cabo Verde. A versão Adam, por sua vez, pode ser encontrada com maior facilidade em países que possuem o inglês como idioma oficial."
42,Adari,Italiana,Adari: Anagrama de Daria.
43,Adauto,Latina,"Adauto: Significa “aumentado” ou “crescido”.Adauto é um nome masculino e originado a partir do latim adauctus, que pode ser traduzido como “crescido” ou “aumentado”, na língua portuguesa.Adauto, assim como Adalton, é um nome bastante popular entre os brasileiros.As pessoas batizadas com este nome, normalmente, recebem alguns apelidos carinhosos de amigos e familiares próximos, como Audo ou Dauto, por exemplo.Este nome ganhou grande popularidade em homenagem a figura de um santo mártir, que viveu durante o século IV d.C, nos primórdios do Cristianismo.Adauctus teria sido levado para a execução em companhia de outro mártir cristão chamado Felix. Por este motivo, a celebração e veneração deste santo no calendário litúrgico é feito em conjunto com Felix.No Brasil, o nome Adauto se imortalizou em homenagem ao cacique com esse nome, de uma tribo indígena do Rio Grande do Sul, que ficou famoso por defender alguns padres jesuítas dos ataques de outras tribos."
44,Adelaide,Germânica,"Adelaide: Significa “de qualidade nobre”, “de nobre linhagem”.Originado do nome germânico Adelheid, Adalheidis, composto pelos elementos adal, athal, que significa “nobre” e haidu, “espécie, qualidade, tipo”.O nome nasceu com a Santa Adelaide por volta do século X, e se tornou conhecido na Inglaterra através da popularidade da Rainha Adelaide. A cidade de mesmo nome, no sul da Austrália, foi dado em homenagem à Rainha."
45,Adelelmo,Germânica,Adelelmo: Nobre elmo.
46,Adelia,Germânica,"Adélia: Significa “nobre”.Com origem no germânico Athala, de athal, literalmente “nobre”.É considerado uma forma reduzida dos nomes que começam com “Adel”, como Adelaide.Introduzido na Inglaterra durante o século IV, ficou bastante conhecido através da variante francesa Adèle, por meio da popularidade da Santa Adela, que antes de ser conhecida como santa, foi princesa do Império Franco."
47,Adelina,Germânica,"Adelina: Significa “serpente nobre”, “serpente da nobreza” ou “pequena nobre”.É um nome com dois possíveis étimos, um a partir do germânico Ethelyna, composto pela junção dos elementos athal, que significa “nobre” e lind que quer dizer “serpente”, e significa “serpente nobre, serpente da nobreza”.Pode também ser um diminutivo de Adélia, nome que tem origem no germânico Athala, da raiz athal e significa “nobre”, portanto Adelina significa “pequena nobre”."
48,Adeline,Francesa,"Adeline: Significa “aquela que é nobre” ou “amiga da nobreza”.Adeline é um nome feminino francês, originado a partir do germânico athal, que quer dizer “nobre” ou “nobreza”.Alguns etimologistas consideram a versão Adeline como um apelido ou diminutivo de Adele, nome que também possuía essa mesma raiz etimológica.Principalmente durante o Império Franco, este nome era comum para se referir a boa ascendência das filhas da nobreza. Adeline foi levado para a Inglaterra através dos normandos, em meados do século XI. Foi um nome bastante comum durante a Idade Média, desaparecendo e ressurgindo apenas o período Gótico Vitoriano.Adeline é um nome comum entre muitas personalidades ligadas à arte e política, como Adeline Adams (1859 – 1948), conhecida por ser uma escritora norte-americana.No Brasil, Adeline é normalmente substituído por Adelina, a variante portuguesa deste nome. Porém, também é comum o uso da versão francesa entre os brasileiros.As pessoas batizadas com este nome costumam receber alguns apelidos carinhosos de amigos e familiares, como Adele, Deline ou Line, por exemplo."
49,Adelino,Germânica,"Adelino: Significa “serpente nobre”, “serpente da nobreza” ou “pequeno nobre”.É a variante masculina de Adelina, nome com duas possibilidades de étimos, um através do nome germânico Ethelyna, formado pela união dos elementos athal, que significa “nobre” e lind que quer dizer “serpente”, e significa “serpente nobre, serpente da nobreza”.Pode ainda ter surgido como um diminutivo de Adélia, nome originado no germânico Athala, a partir da raiz athal e significa “nobre”, logo a versão masculina significa “pequeno nobre”."
50,Adelita,Latina,"Adelita: Significa “de qualidade nobre”, “de nobre linhagem”, “a forte”.Adelita é um hipocorístico (termo afetivo) usado para mulheres registadas com o nome Adelaide ou, ainda, Adela - nome usado mais frequentemente nas línguas inglesa e espanhola.Os hipocorísticos são muito utilizados no Brasil como uma forma de acarinhar e valorizar o tratamento com as pessoas, o que denota ao bonito nome feminino Adelaide o sentido mais afetuoso da sua condição privilegiada ou nobre.Em comparação com o igualmente bonito nome Adela, que significa “a forte”, Adelita sublinha o sentido da força, da coragem, realçando com particularidade a sua beleza interior.Adelita designava as mulheres participantes da Revolução do México, nome que teria surgido a partir da reconhecida veterana de guerra Adela Velarde Pérez, enfermeira que participou do movimento.La Adelita é o nome de uma das canções folclóricas mexicanas mais populares e que é dedicada à Adela Velarde Pérez."
51,Adelmiro,Teutônica,Adelmiro: Variante de Adalmiro.
52,Adelmo,Teutônica,"Adelmo: Significa “nobre proteção” ou “nobre elmo”.Adelmo é um nome masculino e de origem germânica, a partir de Adelhelm, formado pela junção dos elementos adel, que significa “nobre” ou “nobreza”, e helm, que quer dizer “capacete” ou “proteção”.Alguns etimologistas acreditam que este nome possa ter derivado do antigo inglês Ealdhelm, atribuído ao abade de Malmesbury conhecido atualmente como Santo Adelmo.Santo Adelmo é venerado pela Igreja Católica, Ortodoxa e Anglicana, além de ser considerado o padroeiro dos músicos e compositores, devido a sua fama de erudito.Adelmo é um nome muito popular entre os falantes da língua portuguesa, no entanto também costuma ser usado entre os italianos e espanhóis.As pessoas batizadas com este nome não costumam receber muitos apelidos, no entanto alguns nomes carinhosos podem ser atribuídos, como Adê ou Elmo, por exemplo.Outras variantes comuns deste nome ao redor do mundo incluem: Audelmo, Delmo, Elesmo, Adelelmo, Alomo, Adalhem, entre outros."
53,Ademar,Germânica,"Ademar: Significa “combatente glorioso”, “combatente famoso”.Tem origem no germânico Hadumar, a partir de had, hade, que quer dizer “combate” e mar, que significa “glória, fama”.Pode ser encontrado a variante Aimar como originada de Ademar, mas na verdade está ligada ao inglês Aymar, uma versão de Adelmar, que possui outra origem e também outro significado."
54,Ademilson,Hebraica,"Ademilson: Variação do nome Adenilson. Significa ""filho de Daniel"", “filho daquele que tem o Senhor como juiz”.Embora não seja possível confirmar a origem do nome Adenilson, estudiosos da onomástica indicam que o mesmo seja uma variação gráfica de Denilson.Denilson, nome de origem inglesa, significa ""filho de Daniel"". Terá surgido da expressão Danyll’son, o mesmo que “filho de Daniel”, em português. Seu significado decorre da junção do nome Daniel com a partícula son, patronímico inglês.Nesse sentido, Adenilson é um nome de origem patronímica.A origem de Daniel é hebraica. Surge do hebraico Daniyyel e significa “o Senhor é meu juiz”, sendo formado pelos elementos dan, que significa “juiz”, e El, que significa “Senhor”.Por extensão, o nome Adenilson carrega o sentido de “filho daquele que tem o Senhor como juiz”.O nome contou com mais de 30 mil registros, conforme os dados do Censo Demográfico 2010.Na altura da pesquisa, eram 34137 os seus portadores, mas a sua popularidade estava em queda desde a década de 70.No que respeita a Denilson, o número de portadores é superior, tal como sua popularidade também é maior.O Censo 2010 aponta mais de 74 mil registros.Os meninos registrados como Adenilson podem ser afetivamente chamados de Deni, Nilson ou Nilsinho."
