name;searched;gender;origem;significado
Abias;0.0;M;Hebraica;"Abias: Significa ""meu pai é Jeová"", ""meu pai é Deus"". Esse nome tem origem a partir do hebraico Abijah, que significa ""meu pai é Jeová"", ""meu pai é Deus"". Esse nome se refere ao personagem bíblico, também chamado de Abijam, filho de Roboão, neto de Salomão e que foi o segundo rei de Judá. ""Os demais acontecimentos do reinado de Abias e todas as suas realizações estão escritos nos registros históricos dos reis de Judá. Também houve guerra entre Abias e Jeroboão."" (1 Reis 15:7)"
Abiatar;0.0;M;;
Abida;0.0;F;;
Abidan;0.0;M;;
Abidao;0.0;M;;
Abidenor;0.0;M;;
Abiderman;0.0;M;;
Abidias;0.0;M;;
Abidiel;0.0;M;;
Abidon;0.0;M;;
Abidoral;0.0;M;;
Abiezer;0.0;M;;
Abigail;0.0;F;Hebraica;Abigail: Significa “alegria de meu pai”, ou possivelmente “aquela cujo pai é alegria”.Tem origem no hebraico Abhigáyil, composto pelos elementos abh, que significa “pai” e gil, que quer dizer “regozijar-se”.Personagem bíblica citada no Antigo Testamento nos livros de 1 Samuel e 2 Samuel, Abigail foi uma das esposas do rei David.No livro de 1 Crônicas é também revelado que uma das irmãs de David também se chamava Abigail.No século XVII, o nome Abigail chegou a ser utilizado como gíria para designar um servo, em virtude da personagem característica da peça muito famosa escrita por Francis Beaumont e John Fletcher.
Abigair;0.0;F;;
Abigaiu;0.0;F;;
Abilio;0.0;M;Latina;Abílio: Significa “aquele que não é vingativo” ou “criador de abelhas”.Há quem acredite que Abílio tenha sido originado no latim Abiliu, que quer dizer “aquele que não é vingativo”.Provavelmente a partir da união da partícula de negação a com bilis, is, que significa “mau humor, cólera, indignação”.Alguns autores o relacionam com Abelardo, que deriva do francês abeille, que significa “criador de abelhas”.
Abimael;0.0;M;Hebraica;"Abimael: significa ""Deus é meu pai"", ""Deus é todo poderoso"", ""meu pai é o senhor"", ""de quem Deus é pai"".Abimael é um nome de origem religiosa e deriva do hebraico Avima´el ou Abiyma´el.Trata-se de um personagem bíblico, encontrado em Gênesis. Abimael seria o filho de Joetã e bisneto de Sem. Seus irmãos foram Obal e Sabá.O nome no BrasilAbimael é um nome raro no Brasil. Há apenas 7.510 ocorrências do nome no país fazendo com que ele ocupe o 2.047º lugar no ranking de popularidade segundo apurado pelo IBGE no Censo 2010.São Paulo é o Estado com a maior concentração do nome (são 1.194 aparições) seguido da Bahia, com 846 ocorrências. O maior número de pessoas com o nome Abimael foi registrado nos anos 1990, foram 1.885 cadastros feitos naquela década.  Variantes gráficas:Abimail, Abimal, Abimel, Abymael.Personalidades famosas:Abimael Gusmán, articulador político peruano.Abimael Paixão Bomfim, jogador de futebol brasileiro."
Abimaele;0.0;F;;
Abimeleque;0.0;M;;
Abinada;0.0;M;;
Abinadab;0.0;M;;
Abinadabe;0.0;M;;
Abinadabi;0.0;M;;
Abiner;0.0;M;;
Abinoa;0.0;F;;
Abinoan;0.0;F;;
Abiqueila;0.0;F;;
Abisael;0.0;M;;
Abisague;0.0;F;;
Abisai;0.0;M;;
Abisalao;0.0;M;;
Abismael;0.0;M;;
Abissalao;0.0;M;;
Abiude;0.0;M;;
Abkeila;0.0;F;;
Abmael;0.0;M;;
Abnadab;0.0;M;;
Abnadabe;0.0;M;;
Abner;0.0;M;Hebraica;"Abner: Significa “o (divino) pai é luz”, ""meu pai é uma luz"", ""pai da luz"", “pai iluminado”.O belo nome masculino Abner tem origem hebraica e bíblica e apresenta significados brilhantes. Ele surgiu a partir do nome Abiner, que é o resultado da junção dos elementos ab, que significa ""pai"", e hiner, que quer dizer ""luz"". Dessa forma, o nome Abner ganha os significados de: ""meu pai é uma luz"", ""pai da luz"", “pai iluminado”.Trata-se de um bonito nome masculino que carrega consigo a simbologia da luz. Além disso, reflete uma aproximação com o divino, pois reconhece Deus como um pai iluminado e cheio de sabedoria.Popularidade do nome Abner O nome Abner se tornou popular na Reforma Protestante e faz referência a um personagem bíblico, que aparece no Antigo Testamento da Escritura Sagrada.Abner era primo do rei Saul e desempenhou a função de comandante do exército.""Quando Saul viu Davi avançando para enfrentar o filisteu, perguntou a Abner, o comandante do exército: ""Abner, quem é o pai daquele rapaz?"" Abner respondeu: ""Juro por tua vida, ó rei, que eu não sei""."" (1 Samuel 17:55)Atualmente, o nome Abner pode ser encontrado com maior quantidade de registros em países como o Brasil, a Guatemala, as Filipinas e em Israel."
Abnoan;0.0;F;;
Abraao;0.0;M;Hebraica;"Abraão: Significa ""pai de uma multidão"" ou ""pai de muitos"".A origem do nome Abraão é hebraica, do nome Abraham, formado pelas palavras abram, que significa ""pai elevado"" e a palavra ""hamon"", que significa ""muitos, multidão"".A história de Abraão pode ser lida na Bíblia, no livro de Gênesis. Inicialmente chamado Abrão, Deus posteriormente mudou o nome dele para Abraão.Abraão é visto como o patriarca de três das grandes religiões mundiais, o cristianismo, o islamismo e o judaísmo."
Abraham;0.0;M;;
Abramo;0.0;M;;
Abrantes;0.0;M;;
Abrelino;0.0;M;;
Abreu;0.0;M;Portuguesa;"Abreu: significa ""aquele que é grato"", ""doador"", ""generoso"".É um sobrenome muito tradicional em Portugal e tem origem toponímica porque deriva da terra de Abreu (atual vila da freguesia de S.Pedro de Merufe). Abreu, no Brasil, também é usado como primeiro nome.Especula-se que o sobrenome Abreu tenha surgido ainda no século XII, sendo uma família de nobre linhagem com relações estreitas com o rei. Um dos primeiros registros que se tem notícia é o do nobre Lourenço Gomes de Abreu, que teria nascido em Portugal em 1290.O nome teria se espalhado gradualmente por todo o território português. Mais tarde veio a alcançar a Espanha e depois cruzou o oceano até chegar ao Brasil através dos imigrantes lusitanos. Alguns estudiosos acreditam que é possível que o sobrenome Abreu possa ter surgido do alemão “Avredo”.O nome no BrasilHá no Brasil atualmente 289 pessoas que carregam Abreu como primeiro nome. Abreu como primeiro nome é, portanto, muito raro, ocupando o lugar número 20.071º no ranking de popularidade.A maior concentração do nome encontra-se em São Paulo (44 ocorrências) e no Rio de Janeiro (35 registros).  Variantes gráficas:AbreoPersonalidades famosas:Caio Fernando Abreu, escritor brasileiro.Casimiro de Abreu, escritor brasileiro.Cláudia Abreu, atriz brasileira.Luciana Abreu, cantora brasileira."
Absael;0.0;M;;
Absair;0.0;M;;
Absalao;0.0;M;Hebraica;"Absalão: Significa “paz de Deus”, “meu pai é paz”.Sendo a versão portuguesa do nome hebraico Absalom, ele surge do hebraico Abseialom, que significa “paz de Deus”, “meu pai é paz”.Como um nome bíblico, ele pertence a um dos filhos do rei Davi. Absalão era um jovem muito belo que acabou por matar seu próprio irmão e planejava ficar com o trono do pai. Davi mesmo assim o perdoou. “O rei ordenou a Joabe, a Abisai e a Itai: ""Por amor a mim, tratem bem o jovem Absa­lão!"" E todo o exército ouviu quando o rei deu essa ordem sobre Absalão a cada um dos comandantes.” (2 Samuel 18, 5)"
Absolon;0.0;M;;
Abud;0.0;M;Árabe;Abud: O mesmo que abu.
Acacia;0.0;F;Grega;Acácia: Significa “inocente”, “a que não tem malícia”, “sem maldade”.O nome tem origem no grego akákios, que quer dizer “inocência”, “que não tem maldade”.A planta de mesmo nome era considerada sagrada entre os hebreus, e alguns estudiosos acreditam que sua madeira foi utilizada na construção da Arca da Aliança, lugar onde teriam sido guardadas as tábuas dos Dez Mandamentos.
Acacio;0.0;M;Grega;"Acácio: Significa “inocente”, “sem maldade”, “que não tem malícia”.Acácio é um nome português que surge como  variante masculina de Acácia, o qual tem origem no grego akákios, que significa “inocência”, “que não tem maldade”.Deu nome aos primeiros cristãos, e era um dos sobrenomes do deus grego Hermes (Mercúrio para os romanos), o qual era assim chamado pelo fato de ser um deus que não fazia mal aos homens.Hermes era filho de Zeus, o deus dos deuses, e era a divindade responsável pela riqueza, pela fertilidade, pela linguagem, entre outros.Partilha do mesmo significado de Inocêncio, o qual surge do latim Innocentiu, que significa literalmente “inocente; que não faz mal algum”.PopularidadeDe acordo com o Censo Demográfico 2010 eram mais de 8 mil os seus portadores na altura da pesquisa, com maior taxa de incidência no estado de Sergipe.O nome foi popular especialmente na década de 80, a partir de quando o número de registros começou a reduzir.Isso faz dele um nome original. Bonito, especialmente em virtude do seu significado, os meninos com ele registrados podem ser afetivamente chamados de Cacinho.VariantesAkacio é sua variante gráfica. Enquanto em outras línguas apresenta as formas: Acacio (sem acento), em espanhol; Agazio, em italiano, e Acace, em francês."
Acadio;0.0;M;;
Acaio;0.0;M;;
Acarcio;0.0;M;;
Acari;0.0;M;;
Acasio;0.0;M;;
Acassia;0.0;F;;
Acassiano;0.0;M;;
Acassio;0.0;M;;
Acatia;0.0;F;;
Acaua;0.0;M;Indígena;"Acauã: Significa “grande ave de rapina” ou ""gavião-acauã"".Nome diferente, que tem origem indígena, através do termo em tupi waka'wã, possivelmente significa “grande ave de rapina” ou ""gavião-acauã"", referente à ave da família dos Falconídeos, chamada de Herpetotheres Cachinnans.O gavião é um animal que simboliza beleza, imponência, liberdade e superioridade.Esse nome ficou muito conhecido por conta da música ""Acauã"", de Luiz Gonzaga.Acauã"
Acauan;0.0;M;;
Acaz;0.0;M;Hebraica;"Acaz: Significa ""possuidor"". Rei de Judá, filho de Joatão."
Accacio;0.0;M;;
Acebias;0.0;M;;
Acedina;0.0;F;;
Acedir;0.0;M;;
Acelia;0.0;F;;
Acelina;0.0;F;;
Acelino;0.0;M;Latina;Acelino: O que concorda.
Acelio;0.0;M;;
Acelmo;0.0;M;;
Acelso;0.0;M;;
Acemar;0.0;M;;
Acenate;0.0;F;;
Acendina;0.0;F;;
Acendino;0.0;M;;
Acenil;0.0;M;;
Acenilda;0.0;F;;
Acenilde;0.0;F;;
Acenildo;0.0;M;;
Acenilton;0.0;M;;
Acenir;0.0;F;;
Aceno;0.0;M;;
Acer;0.0;M;;
Acetides;0.0;M;;
Achila;0.0;F;Grega;Achila: Feminino de Aquiles.
Achiles;0.0;M;;
Achilis;0.0;M;;
Achille;0.0;M;Francesa;Achille: Forma francesa e italiana de Aquiles.
Achilles;0.0;M;Grega;Achilles: Significa “dor do povo”, “luto do povo”, “aflição da nação”.É a variante inglesa e alemã de Aquiles, que tem origem no nome grego Achilléus, formado pelos elementos akhos, que significa “dor, sofrimento, aflição” e laos, que quer dizer “nação, povo”.Foi o mais bravo dos heróis gregos e foi um dos personagens principais da obra que conta a história da guerra de Tróia, “Ilíada” de Homero, onde acabou morto por uma flecha na única parte vulnerável do seu corpo, o calcanhar. A partir desta história surgiu a expressão “calcanhar de Aquiles”, que significa “fraqueza, vulnerabilidade”.
Aciara;0.0;F;;
Acidalha;0.0;F;;
Acidalia;0.0;F;Grega;Acidália: Aquela que cuida de todos.
Acide;0.0;M;;
Acidino;0.0;M;;
Acidio;0.0;M;;
Aciel;0.0;M;;
Aciene;0.0;F;;
Acilane;0.0;F;;
Acilda;0.0;F;Latina;Acilda: Variante latinizada de Gilda.
Acildo;0.0;M;;
Acilea;0.0;F;;
Acileia;0.0;F;;
Acileide;0.0;F;;
Acilene;0.0;F;;
Acilo;0.0;M;;
Acilon;0.0;M;;
Acimar;0.0;M;;
Acina;0.0;F;;
Acindino;0.0;M;;
Acineide;0.0;F;;
Acinelson;0.0;M;;
Acinete;0.0;F;;
Acintia;0.0;F;;
Aciole;0.0;F;;
Acioli;0.0;F;;
Aciomar;0.0;M;;
Acione;0.0;F;;
Acioneide;0.0;F;;
Acioni;0.0;F;;
Acir;0.0;M;Tupi;"Acir: Significa ""dolorido, magoado"", ""o que vem da dor"" ou ""o que faz doer, o que magoa"".É o diminutivo de Moacir, nome originado no tupi mbo'a'su ira, composto pela junção das palavras, mbo'a'su, que significa ""dor"" ou ""fazer doer"", e ira, que quer dizer ""saído de"".Moacir é um dos nomes indígenas mais populares no Brasil."
Acirema;0.0;F;Latina;Acirema: Anagrama de América.
Acirene;0.0;F;;
Aciria;0.0;F;;
Acirio;0.0;M;;
Acirlene;0.0;F;;
Acisio;0.0;M;;
Acival;0.0;M;;
Acivaldo;0.0;M;;
Ackson;0.0;M;;
Aclailton;0.0;M;;
Aclecia;0.0;F;;
Acleciana;0.0;F;;
Acleciane;0.0;F;;
Acleciano;0.0;M;;
Aclecio;0.0;M;;
Acledison;0.0;M;;
Acledson;0.0;M;;
Acleiton;0.0;M;;
Aclesia;0.0;F;;
Aclesio;0.0;M;;
Aclides;0.0;M;;
Aclimar;0.0;M;;
Aclinio;0.0;M;;
Aclisio;0.0;M;;
Acresio;0.0;M;;
Acricia;0.0;F;;
Acricio;0.0;M;;
Acrinaldo;0.0;M;;
Acrisia;0.0;F;;
Acrisio;0.0;M;Mitológica;Acrísio: Rei de Argos, na grécia.
Acsa;0.0;F;Hebraica;"Acsa: Significa ""enfeite para tornozelo"", ""pulseira para tornozelo"", ""a adornada"" ou ""rompendo o véu"".Acsa é um nome com origem hebraica. Surge da palavra achsah, que significa ""enfeite para tornozelo"", ""pulseira para tornozelo"". Por extensão, carrega o sentido de ""a adornada"".Trata-se de um bonito nome feminino que reflete beleza em virtude do seu significado.Nas Escrituras Sagradas, Acsa é filha de Caleb, que foi um dos treze homens enviados por Moisés em busca da Terra Prometida, chamada de Canaã.Acsa é dada em casamento por seu pai ao homem que liderou a conquista à cidade Quiriate-Sefer. Esse homem era Otniel e era primo de Acsa, cuja história pode ser lida no Antigo Testamento, no livro de Josué.“E Calebe disse: ""Darei minha filha Acsa por mulher ao homem que atacar e conquistar Quiriate-Sefer"".Otoniel, filho de Quenaz, irmão de Calebe, a conquistou; e Calebe lhe deu sua filha Acsa por mulher.” (Josué 15:16-17)Há estudiosos, porém, que referem que o significado do nome Acsa pode ser também ""rompendo o véu"".Alguns registros desse nome podem ser encontrados no nosso país. Sua popularidade vem crescendo desde a década de 70, conforme mostram os dados do Censo Demográfico 2010, que na altura apontou como 1700 o número de suas portadoras."
Acsel;0.0;M;;
Acsia;0.0;F;;
Acssa;0.0;F;;
Acton;0.0;M;;
Acucena;0.0;F;Hebraica;"Açucena: Significa “pureza”, ""flor de lis"" ou “flor branca”.Açucena é um nome feminino, considerado como uma variação de Susana, originado a partir do hebraico Shoushannah, de shoushan, e que quer dizer literalmente “lírio” ou “flor branca”.No entanto, alguns estudiosos ainda acreditam que a raiz etimológica deste nome esteja no elemento egípcio sšn, que pode ser traduzido como “lótus”.Na tradição popular, a açucena (lírio) sempre foi relacionada como um símbolo de “pureza”. Por este motivo, “a pura” pode ser um dos significados atribuídos à Açucena.Este é um nome bastante popular entre os brasileiros. As pessoas batizadas com este nome, normalmente, costumam receber alguns apelidos carinhosos de amigos e familiares próximos, como Su ou Suse, por exemplo.Os nomes derivados a partir da mesma raiz etimológica hebraica de Açucena foram bastante utilizados durante a Idade Média, principalmente por cristãos."
Acurcio;0.0;M;Grega;Acúrcio: Santo mártir grego.
Ada;0.0;F;Hebraica;Ada: Significa “lugar de delícias” ou “o Senhor concedeu benefícios”, ou ainda “ornamento”, “beleza”.É um nome de origem incerta, com a possibilidade de cinco étimos.Pode ter vindo do germânico Eada, influenciado pelo hebraico  Édhen, que significa “ligar de delícias”.Outra possibilidade é que tenha surgido a partir de uma variação feminina do hebraico iddo, uma abreviatura de addayah, que quer dizer literalmente “o Senhor concedeu benefícios”.Ainda pode ter origem no hebraico Adah, que significa literalmente “ornamento, beleza”, e é citado na Bíblia denominando a mulher de Lameque.Há ainda a possibilidade de ter surgido como um apelido dos nomes iniciados com Ad, como Adolfa ou Adosina. Ou ainda através do inglês Ada, apelido utilizado para o nome Adelaide.
Adacia;0.0;F;;
Adacil;0.0;M;;
Adacilda;0.0;F;;
Adacildo;0.0;M;;
Adacio;0.0;M;;
Adacir;0.0;F;;
Adadilson;0.0;M;;
Adagil;0.0;M;;
Adagilda;0.0;F;;
Adagilsa;0.0;F;;
Adagilso;0.0;M;;
Adagilson;0.0;M;;
Adagir;0.0;M;;
Adagmar;0.0;F;;
Adagoberto;0.0;M;;
Adaguimar;0.0;F;;
Adaia;0.0;F;;
Adaiana;0.0;F;;
Adaiane;0.0;F;;
Adaias;0.0;M;;
Adaide;0.0;F;;
Adaides;0.0;F;;
Adaido;0.0;M;;
Adaiene;0.0;F;;
Adailton;0.0;M;Latina;Adailton: Significa “o que foi acrescentado”.Adailton é um nome que surge como uma invenção brasileira, mas sua origem é incerta.Estudiosos da onomástica indicam a possibilidade de se tratar de uma variante de Adauto ou de Dalton.Adauto tem origem religiosa. Do latim Adauctus, significa “acrescentado”.O primeiro portador desse nome religioso foi um mártir do século III. Segundo o que se conhece de sua história, o seu nome era desconhecido por aqueles que assistiram ao seu martírio.Quando um padre chamado Félix era encaminhado para ser morto, um desconhecido o chamou dizendo que era cristão e que queria ser martirizado com ele.Pelo fato de ter morrido junto com São Félix, as pessoas se referiam a ele como aquele que havia sido morto junto com o santo, ou seja, que seu martírio teria sido acrescentado ao de São Félix. Daí o significado “o que foi acrescentado”.Dalton, por sua vez, é um nome de origem toponímica. Ele surge da língua inglesa antiga como Daltun.Seu significado resulta da junção dos elementos dahl, que significa “vale”, e ton, que significa “lugar”, “cidade”.Possivelmente teria sido utilizado para nomear homens que nasciam ou que habitavam um local ou cidade, situado num vale.Os meninos registrados com esse nome podem ser afetivamente chamados de Tom.
Adair;0.0;F;Árabe;Adair: Significa “passagem de uma vau sobre um carvalho” ou “o circuito, o que cincunda”.Adair é um nome céltico que surge a partir do celta Athadara, cujo significado é “passagem de uma vau (porção de água) sobre um carvalho”.Trata-se de um nome toponímico, visto que sua origem decorre do nome de um lugar, mais precisamente uma residência céltica.O nome Adair é categorizado como unissex em virtude de servir tanto o gênero masculino (com maior incidência) como o gênero feminino.No que respeita ao gênero feminino, é atribuído um outro étimo ao nome Adair. Esse do árabe Adaira, cuja outra variante em português é Adaíra, significa “o circuito, o que cincunda”.Adair é um nome curto, que tem uma sonoridade muito bonita. Algumas fontes atribuem-lhe o caráter de nobre por considerarem que nele conste o elemento adal (como em Adalfredo ou Adelaide, por exemplo) que significa “nobre”, o que não deve ser considerado.Os meninos registrados com esse nome podem ser afetivamente chamados de Adairzinho.
Adaira;0.0;F;;
Adaires;0.0;F;;
Adairo;0.0;M;;
Adairson;0.0;M;;
Adairto;0.0;M;;
Adairton;0.0;M;;
Adaisa;0.0;F;;
Adaise;0.0;F;;
Adaisio;0.0;M;;
Adaiso;0.0;M;;
Adaito;0.0;M;;
Adaiton;0.0;M;;
Adaiu;0.0;M;;
Adalberio;0.0;M;;
Adalberon;0.0;M;Grega;Adalberon: Forte.
Adalbert;0.0;M;;
Adalberta;0.0;F;;
Adalberto;0.0;M;Germânica;Adalberto: Significa “nobre ilustre”, “ilustre por sua nobreza”, “brilho da nobreza”.Tem origem no germânico Adalbert formado pelos elementos adal, que quer dizer “nobre” e berth, que significa “ilustre, brilhante”.É nome de um santo conhecido como Santo Adalberto de Praga, padroeiro também da Boêmia, Polônia, Hungria e Prússia.É uma forma germânica antiga que deu origem a Alberto.
Adalbeto;0.0;M;;
Adalcina;0.0;F;;
Adalcinda;0.0;F;;
Adalcindo;0.0;M;;
Adalcino;0.0;M;;
Adalcira;0.0;F;;
Adalecio;0.0;M;;
Adalete;0.0;F;;
Adalex;0.0;M;;
Adalfredo;0.0;M;Germânica;Adalfredo: Significa “nobre”, “pacífico”, “pessoa de qualidade e méritos”, “majestoso”.O nome Adalfredo vem do também germânico Adolf e é a junção de adal, que significa “nobre”, com frid, que significa “pacífico”.Os pais que batizam um filho com esse nome esperam que o seu descendente se destaque por suas qualidades e méritos, que seja portanto, uma pessoa nobre e, igualmente, pacífica.No Brasil, quem recebe esse nome tendencialmente é chamado pelo diminutivo Fred.
Adalgilsa;0.0;F;;
Adalgina;0.0;F;;
Adalgir;0.0;M;;
Adalgisa;0.0;F;Germânica;Adalgisa: Significa “promessa nobre”,  “preciosa”, “lança de nobreza”. O nome feminino Adalgisa tem origem a partir do germânico e carrega os significados de “promessa nobre”, “preciosa” ou “lança de nobreza”. O elemento em germânico antigo gis, a partir de gaiso, significa “lança” ou a partir de gisel, significa “promessa”. Este nome aparece na popular ópera “Norma”, do compositor italiano Vincenzo Bellini. O papel da personagem Adalgisa foi interpretado pela primeira vez pela soprano Giulia Grisi no ano de 1831.
Adalgisia;0.0;F;;
Adalgisio;0.0;M;;
Adalgiso;0.0;M;;
Adalipio;0.0;M;;
Adalivia;0.0;F;;
Adalmir;0.0;M;;
Adalri;0.0;M;;
Adalta;0.0;F;;
Adaltina;0.0;F;;
Adaltino;0.0;M;;
Adaltiva;0.0;F;;
Adaltivo;0.0;M;;
Adalto;0.0;M;Latina;Adalto: Variação do nome Adalton. Significa “aumentado” ou “crescido”.Adalton é um nome masculino e que foi originado a partir do latim adauctus, que significa “aumentado” ou “crescido”, na tradução para o português.Adalton é conhecido, principalmente entre os cristãos, como o nome de um santo mártir que viveu durante o século IV d.C, nos primórdios do Cristianismo.Adauctus (como era conhecido), foi levado à execução em companhia de outro mártir cristão chamado Félix. Por este motivo, ambos os santos são venerados e homenageados sempre em conjunto.Adalton é um nome bastante popular entre os brasileiros, além de outras variantes gráficas deste nome, como Adauton ou Adauto, por exemplo.As pessoas batizadas com este nome, normalmente, costumam receber alguns apelidos carinhosos de amigos e familiares próximos, como Dalton ou Aldo, por exemplo.No Brasil, entre as personalidades mais populares com este nome, destaca-se o cantor, compositor e músico brasileiro Adauto Santos (1940 – 1999).
Adaltro;0.0;M;;
Adalva;0.0;F;;
Adalvir;0.0;M;;
Adalvo;0.0;M;;
Adalzira;0.0;F;Germânica;Adalzira: Ornamento nobre.
Adalziza;0.0;F;;
Adalzizo;0.0;M;;
Adam;0.0;M;Hebraica;Adam: Significa “homem”, “homem formado na terra”.É o nome hebraico que originou o nome Adão. Adam quer dizer “homem”, e tem ligação com a palavra adama, que significa “terra”, sendo traduzido por “homem criado a partir da terra”.Foi encontrado por volta do século XIII em Portugal, sob a forma de Adam, onde se tornou muito popular, também na Escócia e Inglaterra.É utilizado como variante de Adão nas línguas francesa, inglesa, alemã e nórdica.
Adamar;0.0;F;;
Adamara;0.0;F;;
Adamares;0.0;F;;
Adamario;0.0;M;;
Adamaris;0.0;F;;
Adamasio;0.0;M;;
Adamastor;0.0;M;Grega;Adamastor: Um dos gigantes, que pretendia destronar Júpiter.
Adame;0.0;M;;
Adames;0.0;M;;
Adamil;0.0;M;;
Adamilson;0.0;M;;
Adamilton;0.0;M;;
Adamir;0.0;M;Germânica;Adamir: Pai ilustre.
Adamires;0.0;F;;
Adamiro;0.0;M;;
Adamis;0.0;M;;
Adamor;0.0;M;;
Adamos;0.0;M;;
Adams;0.0;M;Hebraica;Adams: Filho de Adão.
Adana;0.0;F;;
Adane;0.0;F;;
Adaneuza;0.0;F;;
Adania;0.0;M;;
Adaniel;0.0;M;;
Adaniela;0.0;F;;
Adanildo;0.0;M;;
Adanilo;0.0;M;;
Adanilson;0.0;M;;
Adanilton;0.0;M;;
Adanilza;0.0;F;;
Adanir;0.0;F;;
Adano;0.0;M;;
Adans;0.0;M;;
Adanubia;0.0;F;;
